"INS_DATE","INS_CCD","INS_SCD","INS_PG","UPD_DATE","UPD_CCD","UPD_SCD","UPD_PG","EXCLUS_VER","CONTRACT_CD","CID","NO","ATTENDANCE_ID"
,,,,,,,,"0","000000000000","000000000000-0000","1","767"
,,,,,,,,"0","000000000000","000000000000-0000","1","768"
,,,,,,,,"0","000000000000","000000000000-0000","1","769"
,,,,,,,,"0","000000000000","000000000000-0000","1","770"
,,,,,,,,"0","000000000000","000000000000-0000","1","771"
,,,,,,,,"0","000000000000","000000000000-0000","1","772"
,,,,,,,,"0","000000000000","000000000000-0000","1","773"
,,,,,,,,"0","000000000000","000000000000-0000","1","774"
,,,,,,,,"0","000000000000","000000000000-0000","1","775"
,,,,,,,,"0","000000000000","000000000000-0000","1","776"
,,,,,,,,"0","000000000000","000000000000-0000","1","788"
,,,,,,,,"0","000000000000","000000000000-0000","1","789"
,,,,,,,,"0","000000000000","000000000000-0000","2","767"
,,,,,,,,"0","000000000000","000000000000-0000","2","768"
,,,,,,,,"0","000000000000","000000000000-0000","2","769"
,,,,,,,,"0","000000000000","000000000000-0000","2","770"
,,,,,,,,"0","000000000000","000000000000-0000","2","771"
,,,,,,,,"0","000000000000","000000000000-0000","2","772"
,,,,,,,,"0","000000000000","000000000000-0000","2","773"
,,,,,,,,"0","000000000000","000000000000-0000","2","774"
,,,,,,,,"0","000000000000","000000000000-0000","2","775"
,,,,,,,,"0","000000000000","000000000000-0000","2","776"
,,,,,,,,"0","000000000000","000000000000-0000","2","788"
,,,,,,,,"0","000000000000","000000000000-0000","2","789"
,,,,,,,,"0","000000000000","000000000000-0000","3","777"
,,,,,,,,"0","000000000000","000000000000-0000","3","778"
,,,,,,,,"0","000000000000","000000000000-0000","3","779"
,,,,,,,,"0","000000000000","000000000000-0000","3","780"
,,,,,,,,"0","000000000000","000000000000-0000","3","781"
,,,,,,,,"0","000000000000","000000000000-0000","3","782"
,,,,,,,,"0","000000000000","000000000000-0000","3","783"
,,,,,,,,"0","000000000000","000000000000-0000","3","784"
,,,,,,,,"0","000000000000","000000000000-0000","3","785"
,,,,,,,,"0","000000000000","000000000000-0000","3","786"
,,,,,,,,"0","000000000000","000000000000-0000","3","790"
,,,,,,,,"0","000000000000","000000000000-0000","3","791"
,,,,,,,,"0","000000000000","000000000000-0000","3","792"
,,,,,,,,"0","000000000000","000000000000-0000","4","741"
,,,,,,,,"0","000000000000","000000000000-0000","5","742"
,,,,,,,,"0","000000000000","000000000000-0000","6","743"
,,,,,,,,"0","000000000000","000000000000-0000","7","744"
,,,,,,,,"0","000000000000","000000000000-0000","8","741"
,,,,,,,,"0","000000000000","000000000000-0000","8","742"
,,,,,,,,"0","000000000000","000000000000-0000","8","743"
,,,,,,,,"0","000000000000","000000000000-0000","8","744"
,,,,,,,,"0","000000000000","000000000000-0000","8","767"
,,,,,,,,"0","000000000000","000000000000-0000","8","768"
,,,,,,,,"0","000000000000","000000000000-0000","8","769"
,,,,,,,,"0","000000000000","000000000000-0000","8","770"
,,,,,,,,"0","000000000000","000000000000-0000","8","771"
,,,,,,,,"0","000000000000","000000000000-0000","8","772"
,,,,,,,,"0","000000000000","000000000000-0000","8","773"
,,,,,,,,"0","000000000000","000000000000-0000","8","774"
,,,,,,,,"0","000000000000","000000000000-0000","8","775"
,,,,,,,,"0","000000000000","000000000000-0000","8","776"
,,,,,,,,"0","000000000000","000000000000-0000","8","777"
,,,,,,,,"0","000000000000","000000000000-0000","8","778"
,,,,,,,,"0","000000000000","000000000000-0000","8","779"
,,,,,,,,"0","000000000000","000000000000-0000","8","780"
,,,,,,,,"0","000000000000","000000000000-0000","8","781"
,,,,,,,,"0","000000000000","000000000000-0000","8","782"
,,,,,,,,"0","000000000000","000000000000-0000","8","783"
,,,,,,,,"0","000000000000","000000000000-0000","8","784"
,,,,,,,,"0","000000000000","000000000000-0000","8","785"
,,,,,,,,"0","000000000000","000000000000-0000","8","786"
,,,,,,,,"0","000000000000","000000000000-0000","8","788"
,,,,,,,,"0","000000000000","000000000000-0000","8","789"
,,,,,,,,"0","000000000000","000000000000-0000","8","790"
,,,,,,,,"0","000000000000","000000000000-0000","8","791"
,,,,,,,,"0","000000000000","000000000000-0000","8","792"
,,,,,,,,"0","000000000000","000000000000-0000","9","741"
,,,,,,,,"0","000000000000","000000000000-0000","9","742"
,,,,,,,,"0","000000000000","000000000000-0000","9","743"
,,,,,,,,"0","000000000000","000000000000-0000","9","744"
,,,,,,,,"0","000000000000","000000000000-0000","9","767"
,,,,,,,,"0","000000000000","000000000000-0000","9","768"
,,,,,,,,"0","000000000000","000000000000-0000","9","769"
,,,,,,,,"0","000000000000","000000000000-0000","9","770"
,,,,,,,,"0","000000000000","000000000000-0000","9","771"
,,,,,,,,"0","000000000000","000000000000-0000","9","772"
,,,,,,,,"0","000000000000","000000000000-0000","9","773"
,,,,,,,,"0","000000000000","000000000000-0000","9","774"
,,,,,,,,"0","000000000000","000000000000-0000","9","775"
,,,,,,,,"0","000000000000","000000000000-0000","9","776"
,,,,,,,,"0","000000000000","000000000000-0000","9","777"
,,,,,,,,"0","000000000000","000000000000-0000","9","778"
,,,,,,,,"0","000000000000","000000000000-0000","9","779"
,,,,,,,,"0","000000000000","000000000000-0000","9","780"
,,,,,,,,"0","000000000000","000000000000-0000","9","781"
,,,,,,,,"0","000000000000","000000000000-0000","9","782"
,,,,,,,,"0","000000000000","000000000000-0000","9","783"
,,,,,,,,"0","000000000000","000000000000-0000","9","784"
,,,,,,,,"0","000000000000","000000000000-0000","9","785"
,,,,,,,,"0","000000000000","000000000000-0000","9","786"
,,,,,,,,"0","000000000000","000000000000-0000","9","788"
,,,,,,,,"0","000000000000","000000000000-0000","9","789"
,,,,,,,,"0","000000000000","000000000000-0000","9","790"
,,,,,,,,"0","000000000000","000000000000-0000","9","791"
,,,,,,,,"0","000000000000","000000000000-0000","9","792"
,,,,,,,,"0","000000000000","000000000000-0000","10","741"
,,,,,,,,"0","000000000000","000000000000-0000","10","742"
,,,,,,,,"0","000000000000","000000000000-0000","10","743"
,,,,,,,,"0","000000000000","000000000000-0000","10","744"
,,,,,,,,"0","000000000000","000000000000-0000","10","767"
,,,,,,,,"0","000000000000","000000000000-0000","10","768"
,,,,,,,,"0","000000000000","000000000000-0000","10","769"
,,,,,,,,"0","000000000000","000000000000-0000","10","770"
,,,,,,,,"0","000000000000","000000000000-0000","10","771"
,,,,,,,,"0","000000000000","000000000000-0000","10","772"
,,,,,,,,"0","000000000000","000000000000-0000","10","773"
,,,,,,,,"0","000000000000","000000000000-0000","10","774"
,,,,,,,,"0","000000000000","000000000000-0000","10","775"
,,,,,,,,"0","000000000000","000000000000-0000","10","776"
,,,,,,,,"0","000000000000","000000000000-0000","10","777"
,,,,,,,,"0","000000000000","000000000000-0000","10","778"
,,,,,,,,"0","000000000000","000000000000-0000","10","779"
,,,,,,,,"0","000000000000","000000000000-0000","10","780"
,,,,,,,,"0","000000000000","000000000000-0000","10","781"
,,,,,,,,"0","000000000000","000000000000-0000","10","782"
,,,,,,,,"0","000000000000","000000000000-0000","10","783"
,,,,,,,,"0","000000000000","000000000000-0000","10","784"
,,,,,,,,"0","000000000000","000000000000-0000","10","785"
,,,,,,,,"0","000000000000","000000000000-0000","10","786"
,,,,,,,,"0","000000000000","000000000000-0000","10","788"
,,,,,,,,"0","000000000000","000000000000-0000","10","789"
,,,,,,,,"0","000000000000","000000000000-0000","10","790"
,,,,,,,,"0","000000000000","000000000000-0000","10","791"
,,,,,,,,"0","000000000000","000000000000-0000","10","792"
