INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,CONTRACT_CD,CID,BREAKOUT_FR_NO,ROLE_OF_OPEN_PERIOD
,,,,,,,,0,"000000000000","000000000000-0000",1,0
,,,,,,,,0,"000000000000","000000000000-0000",2,0
,,,,,,,,0,"000000000000","000000000000-0000",3,0
,,,,,,,,0,"000000000000","000000000000-0000",4,0
,,,,,,,,0,"000000000000","000000000000-0000",5,0
,,,,,,,,0,"000000000000","000000000000-0000",6,0
,,,,,,,,0,"000000000000","000000000000-0000",7,0
,,,,,,,,0,"000000000000","000000000000-0000",8,0
,,,,,,,,0,"000000000000","000000000000-0000",9,0
,,,,,,,,0,"000000000000","000000000000-0000",10,0