ins_date,ins_ccd,ins_scd,ins_pg,upd_date,upd_ccd,upd_scd,upd_pg,exclus_ver,contract_cd,cid,web_menu_cd,menu_bar_id,menu_bar_name,selected_atr,system,menu_cls,code,display_order
,,,"NOCOPY",,,,,0,"000000000000","000000000000-0000","000","MENU_BAR_ID_0000000000000000_000_001","マスタ管理",0,0,0,""    "",1
,,,"NOCOPY",,,,,0,"000000000000","000000000000-0000","001","MENU_BAR_ID_0000000000000000_001_001","管理",0,0,0,""    "",1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%MENU_BAR_ID_0000000000_900_001","マスタ",0,0,0,"    ",1
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%MENU_BAR_ID_0000000000_900_002","スケジュール",0,0,0,"    ",2
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%MENU_BAR_ID_0000000000_900_003","打刻",0,0,0,"    ",3
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%MENU_BAR_ID_0000000000_900_004","実績",0,0,0,"    ",4
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%MENU_BAR_ID_0000000000_900_005","工数",0,0,0,"    ",5
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%MENU_BAR_ID_0000000000_900_006","申請",0,0,0,"    ",6
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%MENU_BAR_ID_0000000000_900_007","設備",0,0,0,"    ",7
,,,,,,,,0,"000000000000","000000000000-0000","900","%GUID%MENU_BAR_ID_0000000000_900_008","補助",0,0,0,"    ",8
,,,,,,,,0,"000000000000","000000000000-0000","902","%GUID%MENU_BAR_ID_0000000000_902_001","スケジュール",0,0,0,"    ",1
,,,,,,,,0,"000000000000","000000000000-0000","902","%GUID%MENU_BAR_ID_0000000000_902_002","打刻",0,0,0,"    ",2
,,,,,,,,0,"000000000000","000000000000-0000","902","%GUID%MENU_BAR_ID_0000000000_902_003","実績",0,0,0,"    ",3
,,,,,,,,0,"000000000000","000000000000-0000","902","%GUID%MENU_BAR_ID_0000000000_902_004","工数",0,0,0,"    ",4
,,,,,,,,0,"000000000000","000000000000-0000","902","%GUID%MENU_BAR_ID_0000000000_902_005","申請",0,0,0,"    ",5
,,,,,,,,0,"000000000000","000000000000-0000","902","%GUID%MENU_BAR_ID_0000000000_902_006","アラームリスト",1,1,0,"0053",6
,,,,,,,,0,"000000000000","000000000000-0000","902","%GUID%MENU_BAR_ID_0000000000_902_007","設備",0,0,0,"    ",7
,,,,,,,,0,"000000000000","000000000000-0000","903","%GUID%MENU_BAR_ID_0000000000_903_001","スケジュール",0,0,0,"    ",1
,,,,,,,,0,"000000000000","000000000000-0000","903","%GUID%MENU_BAR_ID_0000000000_903_002","日次処理",0,0,0,"    ",2
,,,,,,,,0,"000000000000","000000000000-0000","903","%GUID%MENU_BAR_ID_0000000000_903_003","月次処理",0,0,0,"    ",3
,,,,,,,,0,"000000000000","000000000000-0000","903","%GUID%MENU_BAR_ID_0000000000_903_004","アラームリスト",1,1,0,"0053",4
,,,,,,,,0,"000000000000","000000000000-0000","905","%GUID%MENU_BAR_ID_0000000000_905_001","スケジュール",0,0,0,"    ",1
,,,,,,,,0,"000000000000","000000000000-0000","905","%GUID%MENU_BAR_ID_0000000000_905_002","打刻",0,0,0,"    ",2
,,,,,,,,0,"000000000000","000000000000-0000","905","%GUID%MENU_BAR_ID_0000000000_905_003","実績",0,0,0,"    ",3
,,,,,,,,0,"000000000000","000000000000-0000","905","%GUID%MENU_BAR_ID_0000000000_905_004","工数",0,0,0,"    ",4
,,,,,,,,0,"000000000000","000000000000-0000","905","%GUID%MENU_BAR_ID_0000000000_905_005","申請",0,0,0,"    ",5
,,,,,,,,0,"000000000000","000000000000-0000","905","%GUID%MENU_BAR_ID_0000000000_905_006","設備",0,0,0,"    ",6